article;name;price;in_stock;category;url;image
MOBA-189413;Беспроводные наушники Bluetooth Acefast W6 (TWS, вакуумные, с диплеем, активное шумоподавление) Черный;1350.0;True;Новинки;/catalog/besprovodnye-naushniki-bluetooth/189413/;/upload/resize_cache/iblock/ab6/180_180_0/ugl8s9vtme0xf0llx18rf9rhexpq25dz.jpg
MOBA-189412;Адаптер Type-C - Type-C + Type-C Acefast J14 Черный;275.0;True;Новинки;/catalog/adaptery-otg/189412/;/upload/resize_cache/iblock/ff7/180_180_0/ehj1aktr3zwfm6ujvwuopn9dq3eegnh5.jpg
MOBA-189410;Автомобильный держатель Acefast D59 (раздвижной, в дефлектор) Серый;640.0;True;Новинки;/catalog/razdvizhnye-derzhateli/189410/;/upload/resize_cache/iblock/6db/180_180_0/lefhropv6vgshr30wkm3ici7opfxp7iq.jpg
MOBA-189408;Беспроводные наушники Bluetooth Acefast H12 (накладные, активное шумоподавление) Черный;1420.0;True;Новинки;/catalog/besprovodnye-naushniki-bluetooth/189408/;/upload/resize_cache/iblock/ce0/180_180_0/5a98a37njqunol0oco298tvutpozazif.jpg
MOBA-189406;Беспроводные наушники Bluetooth Acefast H12 (накладные, активное шумоподавление) Белый;1420.0;True;Новинки;/catalog/besprovodnye-naushniki-bluetooth/189406/;/upload/resize_cache/iblock/fc3/180_180_0/q2q1gh3ax2f18ot0p1lip3wxx9szohv1.jpg
MOBA-189404;Беспроводные наушники Bluetooth Acefast W7 (TWS, вакуумные, активное шумоподавление) Белый;835.0;True;Новинки;/catalog/besprovodnye-naushniki-bluetooth/189404/;/upload/resize_cache/iblock/ba7/180_180_0/5g1wzmefirrh1tn0l640te3fay5cnhez.jpg
MOBA-189402;Адаптер USB Acefast QC1 (CarPlay/Android Auto, беспроводной, с адаптером Type-C) Серый;1620.0;True;Новинки;/catalog/adaptery-otg/189402/;/upload/resize_cache/iblock/569/180_180_0/n8u3xpklplism4zg4u3kbfpdp339prms.jpg
MOBA-189399;Беспроводное зарядное устройство Acefast E20 (для смартфона + гарнитуры + iWatch) Черный;2090.0;True;Новинки;/catalog/besprovodnye-zaryadnye-ustroystva/189399/;/upload/resize_cache/iblock/fcd/180_180_0/gq4mvt8j5ct2u0csihdogarq399asbr8.jpg
MOBA-189205;Автомобильное зарядное устройство USB/Type-C Acefast B16 (95W, QC3.0, PD, 1Type-C, 1USB) Серый;505.0;True;Новинки;/catalog/avtomobilnye-zaryadnye-ustroystva-bez-kabelya_1/189205/;/upload/resize_cache/iblock/8ed/180_180_0/mtxrsnebb1chz2eh5iz0kjxvou1tvvm3.jpg
MOBA-189109;Набор магнитных ковриков MaAnt (двусторонние, с раскладкой для iPhone, (X-15PM) 12 шт.);2020.0;True;Новинки;/catalog/prochie-instrumenty/189109/;/upload/resize_cache/iblock/c31/180_180_0/rxbvzfsnflrqvmutyyq51fyv2tn24gy7.jpg
MOBA-189106;Тестер магнитного поля MagSafe Relife TO4 (5*4 см);310.0;True;Новинки;/catalog/testery/189106/;/upload/resize_cache/iblock/f34/180_180_0/k3zl5s3b1b9kdz8u4ri6ic345kpzi4k6.jpg
MOBA-189101;Универсальная магнитная платформа для реболлинга MaAnt C2;1420.0;True;Новинки;/catalog/derzhateli-fiksatory/189101/;/upload/resize_cache/iblock/536/180_180_0/v4173vk074gkgt2kbe57mejnsor5iuvh.jpg
MOBA-188796;Звонок (buzzer) для Realme 11 Pro 5G/11 Pro+ 5G (RMX3771/RMX3741/RMX3740) в сборе;80.0;True;Новинки;/catalog/zvonok-buzzer/188796/;/upload/resize_cache/iblock/bf0/180_180_0/3y0bpai267sx89k1lilibxs0x48jjts9.jpg
MOBA-188795;Звонок (buzzer) для Inifinix Hot 40i/40/Realme C51;50.0;True;Новинки;/catalog/zvonok-buzzer/188795/;/upload/resize_cache/iblock/35f/180_180_0/agfnggnabxcxn2xs3y5o9oqjaykeumvg.jpg
MOBA-188794;Скотч задней крышки для iPhone Air (A3517) - Премиум (водонепроницаемый);95.0;True;Новинки;/catalog/skotch-zadney-kryshki/188794/;/upload/resize_cache/iblock/bd4/180_180_0/rqy2yaju2m40q4ae5nf77iw9h6tf27p6.jpg
MOBA-188793;Скотч задней крышки для iPhone 17 Pro Max (A3526) - Премиум (водонепроницаемый);95.0;True;Новинки;/catalog/skotch-zadney-kryshki/188793/;/upload/resize_cache/iblock/ee3/180_180_0/3eh8hs2f3dhq9amilrcxokb9d3w2l3vl.jpg
MOBA-188791;Скотч задней крышки для iPhone 17 Pro (A3523) - Премиум (водонепроницаемый);95.0;True;Новинки;/catalog/skotch-zadney-kryshki/188791/;/upload/resize_cache/iblock/03f/180_180_0/eoecoka3lbe9hbx3ur8995func6r7krm.jpg
MOBA-188789;Скотч задней крышки для iPhone 17 (A3520) - Премиум (водонепроницаемый);95.0;True;Новинки;/catalog/skotch-zadney-kryshki/188789/;/upload/resize_cache/iblock/8f3/180_180_0/s90zpvlc8yvudc87ulsl22fkm65pcqox.jpg
MOBA-188787;Скотч дисплея для iPhone 17 Pro Max (A3526) водонепроницаемый Черный - Премиум;95.0;True;Новинки;/catalog/skotch-lcd/188787/;/upload/resize_cache/iblock/e22/180_180_0/kwtwie4j801yazsl3dn3j65pusv2fw34.jpg
MOBA-188784;Скотч дисплея для iPhone 17 Pro (A3523) водонепроницаемый Черный - Премиум;95.0;True;Новинки;/catalog/skotch-lcd/188784/;/upload/resize_cache/iblock/439/180_180_0/ibdv2aax0fn14r0z4v01pychsdt7m584.jpg
