article;name;price;in_stock;category;url;image
MOBA-184221;Аккумулятор для Realme 8 5G (BLP803) - Battery Collection (Премиум);605.0;True;Аккумуляторы;/catalog/akb/184221/;/upload/resize_cache/iblock/bad/50_50_0/1o2lt0yesqaz2esad3eenj5emxbjhap2.jpg
MOBA-184220;Аккумулятор для Tecno Spark 30 5G/4G/30C 4G (BL-5ABT) - Battery Collection (Премиум);650.0;True;Аккумуляторы;/catalog/akb/184220/;/upload/resize_cache/iblock/c79/50_50_0/9nf903kh5ftprbkhljtvggxitxuo0qv9.jpg
MOBA-183123;Аккумулятор для Samsung Galaxy A72 (A725F)/M32 (M325F)/M22 (M225F) (EB-BA426ABY) - Battery Collection (Премиум);525.0;True;Аккумуляторы;/catalog/akb/183123/;/upload/resize_cache/iblock/878/50_50_0/umk0ly7yvhndgtcradkxrq2dnwxvba4f.jpg
MOBA-181731;Аккумулятор для iPhone 15 - Battery Collection с верификацией - усиленная 3520 mAh - (Коробка + скотч + отвертка);2310.0;True;Аккумуляторы;/catalog/akb/181731/;/upload/resize_cache/iblock/957/50_50_0/earm8btl99qvg8sp4shr8g03i2j7cza7.jpg
MOBA-181734;Аккумулятор для iPhone 12 mini - Battery Collection с верификацией - усиленная 2400 mAh - (Коробка + скотч + отвертка);1510.0;True;Аккумуляторы;/catalog/akb/181734/;/upload/resize_cache/iblock/c00/50_50_0/i7b5yqaf4ooy0c11gvdu4x732k2h2erl.jpg
MOBA-181741;Аккумулятор для iPhone 12/12 Pro - Battery Collection с верификацией - усиленная 3310 mAh - (Коробка + скотч + отвертка);1510.0;True;Аккумуляторы;/catalog/akb/181741/;/upload/resize_cache/iblock/5ee/50_50_0/f8mfhrhl1gu84g2hffuiha01mhlhkcod.jpg
MOBA-181733;Аккумулятор для iPhone 15 Plus - Battery Collection с верификацией - усиленная 4620 mAh - (Коробка + скотч + отвертка);2420.0;True;Аккумуляторы;/catalog/akb/181733/;/upload/resize_cache/iblock/da5/50_50_0/6b11q27rbxe54drj031v4ese22pp0mdu.jpg
MOBA-181738;Аккумулятор для iPhone 12 Pro Max - Battery Collection с верификацией - усиленная 4310 mAh - (Коробка + скотч + отвертка);1930.0;True;Аккумуляторы;/catalog/akb/181738/;/upload/resize_cache/iblock/be3/50_50_0/m3i9w4bz1g42ko3i3wl8lhkd3qec5mos.jpg
MOBA-181749;Аккумулятор для iPhone 13 Pro Max - Battery Collection с верификацией - усиленная 4700 mAh - (Коробка + скотч + отвертка);2240.0;True;Аккумуляторы;/catalog/akb/181749/;/upload/resize_cache/iblock/784/50_50_0/6ex1ozx69rm5okrlaxuuhx8t4ttjbi4h.jpg
MOBA-181750;Аккумулятор для iPhone 14 - Battery Collection с верификацией - усиленная 3610 mAh - (Коробка + скотч + отвертка);2080.0;True;Аккумуляторы;/catalog/akb/181750/;/upload/resize_cache/iblock/a35/50_50_0/eah4l5gub7ohvf3u7zsplk0e9i4zuckr.jpg
MOBA-181745;Аккумулятор для iPhone 13 mini - Battery Collection с верификацией - усиленная 2500 mAh - (Коробка + скотч + отвертка);1670.0;True;Аккумуляторы;/catalog/akb/181745/;/upload/resize_cache/iblock/f31/50_50_0/iy0mho660mehuw0b42ibe5oy02di96ts.jpg
MOBA-181739;Аккумулятор для iPhone 15 Pro Max - Battery Collection с верификацией - усиленная 4770 mAh - (Коробка + скотч + отвертка);2800.0;True;Аккумуляторы;/catalog/akb/181739/;/upload/resize_cache/iblock/dab/50_50_0/h8llhdr56x6sf7w79nbnszwc7vb8k280.jpg
MOBA-181751;Аккумулятор для iPhone 14 Plus - Battery Collection с верификацией - усиленная 4810 mAh - (Коробка + скотч + отвертка);2160.0;True;Аккумуляторы;/catalog/akb/181751/;/upload/resize_cache/iblock/63a/50_50_0/vwxt8907dhnb2g0w2y0z4byzkc3xqh27.jpg
MOBA-178656;Аккумулятор для Realme GT Neo 2/3T/GT 2 Pro/OPPO Reno 13 F 4G (BLP887) - Battery Collection (Премиум);905.0;True;Аккумуляторы;/catalog/akb/178656/;/upload/resize_cache/iblock/cf2/50_50_0/4y34d1tcn485wlc1qszbb4fe4s26srxw.jpg
MOBA-177453;Аккумулятор для Xiaomi 13 Lite (BP4E) - Battery Collection (Премиум);675.0;True;Аккумуляторы;/catalog/akb/177453/;/upload/resize_cache/iblock/df8/50_50_0/jxx77jivnyuob8aambltwb9jl77v0hjv.jpg
MOBA-176762;Аккумулятор для Huawei Nova 10 SE/11/11 SE/12 SE/12s (HB456493EGW) - Battery Collection (Премиум);1760.0;True;Аккумуляторы;/catalog/akb/176762/;/upload/resize_cache/iblock/b23/50_50_0/fktzoxykeoxkhsc5wmamj3keskdn7vrk.jpg
MOBA-175842;Аккумулятор для Xiaomi Redmi 14C/Poco C75 (BN5X) - Battery Collection (Премиум);550.0;True;Аккумуляторы;/catalog/akb/175842/;/upload/resize_cache/iblock/edd/50_50_0/d8ymi7p7iweqb8rot0b0goatqv0enfs1.jpg
MOBA-172348;Аккумулятор для Huawei Nova Y90/11i/12i/13i (HB496493EGW) - Battery Collection (Премиум);1910.0;True;Аккумуляторы;/catalog/akb/172348/;/upload/resize_cache/iblock/dd2/50_50_0/33t1lzi50dd6ohuec0zeybpq6rttr2xi.jpg
MOBA-171044;Аккумулятор для Xiaomi 13T/Note 13 Pro 4G/14S/Poco M6 Pro 4G/X6 Pro 5G/14T (BM5T) - Battery Collection (Премиум);745.0;True;Аккумуляторы;/catalog/akb/171044/;/upload/resize_cache/iblock/41b/50_50_0/830zfios56nil4uqcv5pvkutjtzzlaof.jpg
MOBA-171041;Аккумулятор для iPhone 15 Plus - Battery Collection - усиленная 4620 mAh;1170.0;True;Аккумуляторы;/catalog/akb/171041/;/upload/resize_cache/iblock/df1/50_50_0/yflj190rzki6b6m4ks8cu3u01n736x6k.jpg
MOBA-43038;"Аккумуляторные батарейки ""Крона"" 6F22 1000 mAh (9V, 2 шт. в кейсе, перезаряжаемые от Type-C)";1140.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/43038/;/upload/resize_cache/iblock/0dc/50_50_0/qyfmca4iuoy33kyn21261swq1cmtu2fx.jpg
MOBA-177244;"Аккумуляторные батарейки ""AAA"" VariCore Li-ion 1.5V 600 mAh (2 шт, перезаряжаемые, зарядка через Type-C)";435.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/177244/;/upload/resize_cache/iblock/4f3/50_50_0/qxe1h5f7zr1qi7q2e3on67j4eq9i7qwn.jpg
MOBA-177246;"Аккумуляторные батарейки ""Крона"" 6LR61 VariCore Li-ion 9V 1200 mAh (перезаряжаемые, зарядка через Type-C)";380.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/177246/;/upload/resize_cache/iblock/b27/50_50_0/3j7v77ptexud5037lg160ymps0stnyjq.jpg
MOBA-177243;"Аккумуляторные батарейки ""AA"" VariCore Li-ion 1.5V 2600 mAh (4 шт, перезаряжаемые, зарядка через Type-C)";1050.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/177243/;/upload/resize_cache/iblock/e39/50_50_0/yzxh8k8vgf33yl80mo42lpod19dzf3xi.jpg
MOBA-167561;"Аккумуляторные батарейки ""Крона"" 6LR61 LiitoKala 1100 mAh (9V, 2 шт. в кейсе, перезаряжаемые от Type-C)";675.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/167561/;/upload/resize_cache/iblock/33d/50_50_0/qa4stvs1mtm5x5tctxic8je2rsb94l6z.jpg
MOBA-177245;"Аккумуляторные батарейки ""AAA"" VariCore Li-ion 1.5V 600 mAh (4 шт, перезаряжаемые, зарядка через Type-C)";825.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/177245/;/upload/resize_cache/iblock/4df/50_50_0/c63blki2kyjjh86oi0m39z65vnuuizt4.jpg
MOBA-172773;"Аккумуляторные батарейки ""AAA"" GoPower 950 mAh (2 шт. в блистере)";275.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/172773/;/upload/resize_cache/iblock/bf3/50_50_0/wp1jsiwjaibyv7gqcpqvs9pibws2rkvi.jpg
MOBA-12807;"Аккумуляторные батарейки ""AA"" GP 2700 mAh (2 шт. в блистере)";890.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/12807/;/upload/resize_cache/iblock/224/50_50_0/dl73x0vztjr4zvzo83o090egdba8sr2d.jpg
MOBA-177240;"Аккумуляторные батарейки ""AA"" VariCore Li-ion 1.5V 2600 mAh (2 шт, перезаряжаемые, зарядка через Type-C)";560.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/177240/;/upload/resize_cache/iblock/ea0/50_50_0/ylzgblul7k7gjap036i3xmcxqj81e2ab.jpg
MOBA-43037;"Аккумуляторные батарейки ""AAA"" Smartools Li-ion 1.5V 400 mAh (4 шт. в блистере, перезаряжаемые, зарядка через Type-C)";560.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/43037/;/upload/resize_cache/iblock/ec1/50_50_0/825ef5n1ptjvygfk1k50avy2m91xt4qw.jpg
MOBA-47001;"Аккумуляторные батарейки ""AA"" LiitoKala Ni–MH 1.2V 2500 mAh (2 шт. в блистере)";365.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/47001/;/upload/resize_cache/iblock/c45/50_50_0/imhmhia4cc4tnoocnp83by4b2u0tlp9e.jpg
MOBA-86550;"Аккумуляторные батарейки ""AA"" LiitoKala Li-ion 1.5V 2300 mAh (2 шт. в кейсе. перезаряжаемые, зарядка через Type-C)";515.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/86550/;/upload/resize_cache/iblock/03c/50_50_0/ezfqoygdj0xgdstquo71fjr3k086eq49.jpg
MOBA-12812;"Аккумуляторные батарейки ""AAA"" GP 1000 mAh (2 шт. в блистере)";620.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/12812/;/upload/resize_cache/iblock/5f3/50_50_0/8zfl35ak0x1wrom6gq5vy6k13wt4eq9e.jpg
MOBA-187398;"Аккумуляторные батарейки ""AA"" GoPower 2850 mAh (2 шт. в блистере)";595.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/187398/;/upload/resize_cache/iblock/98a/50_50_0/66j1btw79whzl1e0w9ugyn2g7dynrrwk.jpg
MOBA-12811;"Аккумуляторные батарейки ""AAA"" GP 950 mAh (2 шт. в блистере)";515.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/12811/;/upload/resize_cache/iblock/5f3/50_50_0/d4afo9s9tfeiz9ysx3g87j02h4tjjuac.jpg
MOBA-185225;"Аккумуляторные батарейки ""AA"" Hoco Li-ion 1.5V 2100 mAh (2 шт, перезаряжаемые, зарядка через Type-C)";365.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/185225/;/upload/resize_cache/iblock/eb4/50_50_0/54k7reefknaq1jg4c98104q0kmcsjn9e.jpg
MOBA-185224;"Аккумуляторные батарейки ""AAA"" Hoco Li-ion 1.5V 800 mAh (2 шт, перезаряжаемые, зарядка через Type-C)";300.0;True;Аккумуляторы Бытовые;/catalog/akb-bytovye/185224/;/upload/resize_cache/iblock/c02/50_50_0/js0a3zz758lm47szmo938xf0u1gfzzvf.jpg
